Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,500.52298078433
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,5396.21422690995
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,4021.98360796603
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,13672.576657298
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,41328.6004993451
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,2142.23875712854
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,18187.7797117112
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,9963.67423069626
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,4828.50488860645
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,31902.7625819564
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,54941.0657202842
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,50070.4033482892
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,4805.75371765917
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,32279.0113630465
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,25869.1129129041
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,2122.0783861524
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,19002.9623813263
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,6837.76723174438
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,46641.7116578097
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,6210.56554311929
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1170.96553298105
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,116153.166121638
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,3303.96230868215
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3472.38083136442
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,6094.72321376258
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,6691.16105117407
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,8845.3239312417
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,30748.3201899098
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,9878.76887237072
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,772.166877547544
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,216.972970864849
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3928.30909558631
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1671.38540009767
